v8-version,8,1,307,31,-node.33,0
code-creation,Builtin,3,2000,0x7ff75b1989d0,179,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,2000,0x7ff75b198a90,12,BigIntConstructor
code-creation,Builtin,3,2000,0x7ff75b198ab0,12,BigIntAsUintN
code-creation,Builtin,3,2000,0x7ff75b198ad0,12,BigIntAsIntN
code-creation,Builtin,3,2000,0x7ff75b198af0,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,2000,0x7ff75b198b10,12,BigIntPrototypeToString
code-creation,Builtin,3,2000,0x7ff75b198b30,12,BigIntPrototypeValueOf
code-creation,Builtin,3,3000,0x7ff75b198b50,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,3000,0x7ff75b198b70,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,3000,0x7ff75b198b90,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,3000,0x7ff75b198bb0,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,3000,0x7ff75b198bd0,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,3000,0x7ff75b198bf0,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,3000,0x7ff75b198c10,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,3000,0x7ff75b198c30,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,3000,0x7ff75b198c50,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,3000,0x7ff75b198c70,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,3000,0x7ff75b198c90,12,CallSitePrototypeGetThis
code-creation,Builtin,3,3000,0x7ff75b198cb0,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,3000,0x7ff75b198cd0,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,3000,0x7ff75b198cf0,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,3000,0x7ff75b198d10,12,CallSitePrototypeIsEval
code-creation,Builtin,3,3000,0x7ff75b198d30,12,CallSitePrototypeIsNative
code-creation,Builtin,3,3000,0x7ff75b198d50,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,3000,0x7ff75b198d70,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,3000,0x7ff75b198d90,12,CallSitePrototypeToString
